recno,TYC1,TYC2,TYC3,BTmag,VTmag,HIP,RA(ICRS),DE(ICRS)
1094700,4187,1365,1,5.796,5.21,74605,228.65840861,67.34762778
1151792,4411,109,1,6.351,6.196,74272,227.6849875,67.78106583
1152358,4412,2198,1,7.437,5.787,76519,234.4133525,69.28322333
1154129,4420,400,1,7.279,6.491,83114,254.76073,69.186345
1154078,4419,2886,1,4.898,4.942,80650,246.99604611,68.76805889
1154077,4419,2885,1,6.69,5.388,80161,245.45308833,69.10941639
1158651,4436,1425,1,5.057,4.6,86614,265.48461611,72.14946139
1158650,4436,1424,1,6.141,5.586,86620,265.49184444,72.15753972
1158649,4436,1423,1,7.159,5.982,86219,264.28682583,72.45575806
1156207,4426,1634,1,6.582,6.31,82880,254.06973722,73.12791417
1155994,4425,2182,1,6.089,6.023,79601,243.63943556,73.39481083
1155809,4425,567,1,8.054,6.458,80920,247.86789722,72.61221333
1189895,4569,1447,1,7.641,6.485,87670,268.61143806,75.17121889
1189711,4568,1881,1,6.514,6.204,83317,255.41700806,75.29765528
1190814,4573,1916,1,5.614,5.075,87234,267.36225944,76.96231333
998084,3854,1418,1,6.414,6.288,66700,205.08931583,57.207545
998527,3857,600,1,6.558,6.456,67548,207.61569278,58.53942917
