TYC1,TYC2,TYC3,VTmag,HIP,RA(ICRS),DE(ICRS),recno
800,1085,1,13.09,,126.98766417,9.61838083,175113
803,593,1,13.167,,124.81405694,11.66204611,175594
804,1326,1,13.335,,127.74989028,11.99686639,175843
806,255,1,13.315,,124.34674056,13.8386525,176072
810,27,1,13.369,,130.80653389,8.19762,176742
810,2638,1,13.06,,130.69495,7.61959528,177037
811,446,1,13.209,,134.54677861,7.66016194,177101
811,907,1,13.512,,133.766295,7.97208472,177156
813,2854,1,13.595,,131.698955,11.66509194,177822
815,379,1,13.182,,137.78911139,10.73951083,178205
817,176,1,13.155,,134.45426111,14.94915972,178636
817,376,1,13.15,,135.04199528,14.69483444,178656
827,980,1,13.07,,145.10521028,13.6925675,180811
830,1414,1,13.107,,152.80784333,7.98056722,181455
833,963,1,13.114,,152.97456056,10.96435583,181957
834,1152,1,13.194,,147.26500528,12.67643583,182128
838,1339,1,13.072,,158.14973333,7.6520625,182809
839,1397,1,13.351,,160.47190778,7.6716275,182982
841,519,1,13.342,,158.08637472,10.99356944,183250
841,606,1,13.339,,156.8233675,10.96183556,183255
842,341,1,13.17,,159.73879889,10.95662222,183386
842,987,1,13.336,,160.16430806,10.30270278,183471
842,1262,1,13.269,,160.71764528,10.40261361,183503
842,1422,1,13.338,,158.82352917,10.476845,183529
844,1234,1,14.2,,158.25630417,13.33617417,183783
844,1310,1,13.216,,158.14988361,13.18936667,183790
845,484,1,13.095,,160.52037222,14.77331861,183880
845,891,1,13.532,,160.6405875,13.22001694,183933
849,1374,1,13.233,,161.87693722,10.24832583,184635
850,421,1,13.264,,164.05727806,11.21132083,184695
850,790,1,13.356,,165.30641944,10.59212944,184744
850,1186,1,13.234,,165.93239694,12.00375083,184802
853,228,1,13.104,,163.83172472,14.78823139,185172
853,260,1,13.387,,165.50831306,14.19595611,185175
853,1323,1,13.27,,165.53065611,14.71756806,185310
854,575,1,13.126,,166.39247,13.66899556,185361
863,31,1,13.162,,175.35853778,14.84625222,186536
865,197,1,13.393,,181.17448528,7.88835944,186833
865,794,1,13.114,,181.21142611,9.83667611,186902
868,655,1,13.579,,181.23969222,10.47912806,187335
873,11,1,13.269,,184.10173472,7.73091861,187930
873,204,1,14.061,,184.68394167,9.22262,187956
873,402,1,13.933,,185.28689917,9.18452611,187992
874,477,1,13.43,,187.04674361,9.66522083,188135
877,945,1,13.45,,187.33929389,10.63625806,188639
880,531,1,13.306,,188.67290083,13.042215,188975
880,687,1,13.075,,188.0612925,13.71596694,189001
881,360,1,13.508,,190.82304333,13.36061528,189085
881,683,1,13.264,,190.54227083,13.32803611,189133
883,965,1,13.132,,195.70829833,9.71628611,189416
884,186,1,13.141,,198.01295444,9.52491111,189480
885,224,1,13.846,,193.58816833,10.64774639,189615
885,996,1,13.116,,192.22685389,11.57370861,189699
